iter	RMSE
0	0.2264733039
1	0.2186274856
2	0.2112928515
3	0.2044947786
4	0.1981290323
5	0.1921351714
6	0.1868881789
7	0.1818594386
8	0.1770306671
9	0.1725345319
10	0.1684961901
11	0.1646382415
12	0.1610674035
13	0.1577415143
14	0.154910176
15	0.1521075333
16	0.1494546933
17	0.1471639864
18	0.1449970222
19	0.1428986912
20	0.1410340452
21	0.1392627983
22	0.1376442683
23	0.1361348626
24	0.1347580958
25	0.1335370493
26	0.1323859684
27	0.1313370032
28	0.1303629907
29	0.129506052
30	0.1287207905
31	0.1280075698
32	0.1273464197
33	0.1267575528
34	0.1261901444
35	0.1256851993
36	0.1252195954
37	0.1249023262
38	0.1245007709
39	0.1241583379
40	0.1238149356
41	0.1235337885
42	0.1232944074
43	0.1230603247
44	0.1228339397
45	0.1226339311
46	0.1224293801
47	0.1222423996
48	0.1220689988
49	0.1219218197
50	0.1217759336
51	0.1216592934
52	0.1215334906
53	0.1214491374
54	0.121350682
55	0.1212522986
56	0.1211766917
57	0.1210838618
58	0.1210086858
59	0.1209346118
60	0.120874454
61	0.1208097801
62	0.1207631009
63	0.1207047603
64	0.1206633734
65	0.1206138385
66	0.1205717086
67	0.1205268249
68	0.1204872012
69	0.1204460462
70	0.1204117898
71	0.1203699604
72	0.1203344672
73	0.1203041186
74	0.1202718416
75	0.1202576937
76	0.1202328728
77	0.1202017447
78	0.1201804118
79	0.1201550635
80	0.1201233852
81	0.1200944398
82	0.1200854657
83	0.1200640797
84	0.1200363272
85	0.1200066713
86	0.1199826183
87	0.1199600097
88	0.1199426717
89	0.1199294136
90	0.1199201515
91	0.1199064948
92	0.1198858967
93	0.1198795502
94	0.1198575202
95	0.1198505287
96	0.1198250694
97	0.1198096161
98	0.1198068971
99	0.1197909094
100	0.119783235
101	0.1197659981
102	0.119751729
103	0.1197270868
104	0.1197169432
105	0.1196955701
106	0.119694743
107	0.11969282
108	0.1196783672
109	0.11966947
110	0.1196565316
111	0.11964817
112	0.1196285541
113	0.1196177711
114	0.1196063981
115	0.1195893314
116	0.1195759991
117	0.119575414
118	0.1195654026
119	0.119557809
120	0.1195449777
121	0.1195349923
122	0.1195163688
123	0.1195062661
124	0.1194897607
125	0.1194762672
126	0.1194688565
127	0.1194602006
128	0.1194486247
129	0.1194358629
130	0.1194203447
131	0.1194065523
132	0.1193979233
133	0.1193933971
134	0.1193900706
135	0.1193900188
136	0.1193738291
137	0.1193588182
138	0.1193575932
139	0.1193464176
140	0.1193362688
141	0.1193266544
142	0.1193149246
143	0.1193048182
144	0.1192985078
145	0.119292118
146	0.1192834397
147	0.1192737984
148	0.1192600576
149	0.1192510334
150	0.119240131
151	0.1192289385
152	0.1192189764
153	0.1192044714
154	0.1191918437
155	0.1191765242
156	0.1191611786
157	0.1191523641
158	0.1191417128
159	0.1191338018
160	0.1191254299
161	0.1191130999
162	0.1191000012
163	0.1190852673
164	0.119076038
165	0.1190673023
166	0.119056766
167	0.1190434969
168	0.1190333342
169	0.1190221678
170	0.1190162844
171	0.1190038701
172	0.1189954282
173	0.1189942858
174	0.1189850592
175	0.1189774382
176	0.118972137
177	0.1189611469
178	0.1189486747
179	0.1189380367
180	0.1189264075
181	0.1189193594
182	0.1189182865
183	0.1189150132
184	0.1189048949
185	0.1188956971
186	0.1188898322
187	0.1188823552
188	0.1188758418
189	0.1188666954
190	0.1188623542
191	0.1188506087
192	0.1188378138
193	0.1188280468
194	0.1188192636
195	0.1188067071
196	0.118799941
197	0.1187985715
198	0.1187885963
199	0.1187799969
200	0.1187741797
201	0.1187688151
202	0.1187546692
203	0.1187412194
204	0.1187295356
205	0.1187173195
206	0.1187048142
207	0.1186980923
208	0.1186848743
209	0.118672319
210	0.1186639318
211	0.1186548039
212	0.1186472243
213	0.1186357897
214	0.1186258538
215	0.1186137084
216	0.1186048687
217	0.118591756
218	0.1185810663
219	0.118570456
220	0.1185605178
221	0.1185509093
222	0.1185397003
223	0.1185301857
224	0.1185176405
225	0.1185080003
226	0.1184972957
227	0.1184883663
228	0.1184775072
229	0.1184661352
230	0.1184556853
231	0.1184454435
232	0.118435494
233	0.1184232011
234	0.1184143519
235	0.118406925
236	0.1183970796
237	0.1183869932
238	0.118376633
239	0.1183672566
240	0.1183589481
241	0.1183494542
242	0.1183425868
243	0.1183349309
244	0.1183232585
245	0.1183164042
246	0.1183065953
247	0.1182992202
248	0.1182896554
249	0.1182824527
250	0.1182742257
251	0.1182635388
252	0.1182560277
253	0.1182481495
254	0.1182405219
255	0.1182321886
256	0.1182240186
257	0.1182172052
258	0.1182076233
259	0.1182007754
260	0.1181950142
261	0.1181872239
262	0.1181790534
263	0.1181699786
264	0.1181637613
265	0.1181597094
266	0.1181507116
267	0.1181422339
268	0.1181326424
269	0.1181244804
270	0.1181174214
271	0.118110588
272	0.1181016809
273	0.1180929272
274	0.1180857781
275	0.1180785884
276	0.1180727762
277	0.1180655225
278	0.1180572337
279	0.1180500311
280	0.1180434595
281	0.11803585
282	0.1180294427
283	0.1180206149
284	0.118013433
285	0.1180045047
286	0.1179986933
287	0.1179891956
288	0.1179826398
289	0.1179760095
290	0.1179681224
291	0.117961524
292	0.1179535681
293	0.1179444447
294	0.1179366266
295	0.117929012
296	0.1179218136
297	0.1179146805
298	0.1179075569
299	0.1178992634
