iter	Passed	Remaining
0	2	669
1	4	655
2	6	643
3	8	634
4	10	634
5	13	682
6	16	677
7	18	669
8	20	662
9	22	660
10	24	656
11	28	673
12	30	674
13	33	677
14	35	675
15	37	674
16	40	672
17	43	677
18	46	682
19	48	677
20	50	673
21	53	669
22	55	666
23	57	663
24	60	660
25	62	660
26	65	658
27	67	656
28	69	653
29	72	650
30	74	648
31	77	646
32	79	644
33	82	641
34	84	639
35	86	636
36	89	635
37	91	633
38	94	634
39	97	631
40	99	630
41	102	628
42	104	625
43	107	622
44	109	622
45	112	620
46	114	617
47	117	615
48	119	612
49	121	609
50	124	607
51	126	605
52	129	603
53	131	598
54	133	596
55	136	596
56	139	594
57	141	591
58	144	588
59	146	586
60	148	583
61	151	581
62	153	578
63	156	575
64	158	573
65	180	640
66	182	635
67	184	630
68	187	626
69	189	621
70	191	616
71	193	611
72	195	608
73	197	604
74	200	600
75	202	596
76	204	591
77	206	587
78	208	583
79	210	580
80	213	576
81	215	572
82	216	566
83	219	563
84	221	559
85	223	556
86	226	554
87	228	551
88	231	548
89	233	545
90	236	542
91	238	539
92	241	536
93	243	533
94	245	530
95	248	527
96	250	524
97	252	521
98	254	517
99	257	514
100	259	511
101	262	508
102	264	506
103	266	503
104	269	500
105	271	497
106	273	494
107	275	490
108	278	487
109	280	485
110	283	482
111	285	479
112	288	477
113	291	475
114	294	473
115	296	470
116	299	468
117	301	464
118	303	461
119	306	459
120	308	456
121	310	453
122	313	450
123	315	448
124	318	445
125	320	442
126	323	440
127	325	437
128	328	434
129	330	432
130	333	429
131	335	427
132	337	424
133	340	421
134	342	418
135	344	415
136	346	412
137	349	410
138	351	407
139	354	404
140	357	402
141	359	400
142	362	398
143	364	395
144	367	392
145	369	390
146	372	388
147	375	385
148	377	382
149	380	380
150	382	377
151	385	375
152	387	372
153	390	369
154	392	367
155	394	364
156	397	361
157	399	359
158	402	356
159	405	354
160	408	352
161	410	349
162	413	347
163	415	344
164	417	341
165	421	340
166	424	337
167	426	335
168	429	332
169	431	329
170	433	327
171	436	324
172	438	322
173	441	319
174	443	316
175	445	314
176	448	311
177	450	308
178	452	306
179	455	303
180	458	301
181	460	298
182	462	295
183	465	293
184	467	290
185	470	288
186	472	285
187	474	282
188	477	280
189	479	277
190	482	275
191	485	272
192	487	270
193	490	268
194	493	265
195	495	262
196	498	260
197	500	257
198	503	255
199	505	252
200	508	250
201	510	247
202	512	245
203	515	242
204	517	239
205	520	237
206	523	235
207	525	232
208	528	229
209	530	227
210	533	224
211	535	222
212	538	219
213	540	217
214	543	214
215	545	212
216	548	209
217	552	207
218	555	205
219	557	202
220	560	200
221	562	197
222	565	195
223	567	192
224	570	190
225	572	187
226	574	184
227	577	182
228	579	179
229	582	177
230	584	174
231	587	172
232	589	169
233	592	167
234	594	164
235	597	161
236	599	159
237	602	156
238	604	154
239	606	151
240	609	149
241	611	146
242	615	144
243	618	141
244	621	139
245	623	136
246	626	134
247	629	131
248	631	129
249	634	126
250	636	124
251	639	121
252	642	119
253	644	116
254	646	114
255	649	111
256	651	109
257	654	106
258	657	104
259	659	101
260	662	98
261	664	96
262	666	93
263	669	91
264	672	88
265	674	86
266	677	83
267	680	81
268	682	78
269	685	76
270	688	73
271	690	71
272	692	68
273	695	65
274	697	63
275	699	60
276	702	58
277	704	55
278	706	53
279	709	50
280	711	48
281	714	45
282	716	43
283	718	40
284	721	37
285	724	35
286	726	32
287	728	30
288	731	27
289	733	25
290	736	22
291	739	20
292	741	17
293	744	15
294	747	12
295	749	10
296	751	7
297	754	5
298	756	2
299	759	0
