Model,Target,R2,RMSE,MAE,CV_R2,CV_Std
Linear Regression,attack-success-rate,0.727,0.0594,0.0438,0.7285,0.0103
Decision Tree,attack-success-rate,0.7186,0.0603,0.0446,0.7208,0.0118
Extra Trees,attack-success-rate,0.6401,0.0682,0.0506,0.6488,0.0133
Random Forest,attack-success-rate,0.7146,0.0607,0.045,0.7148,0.0114
Gradient Boosting,attack-success-rate,0.7233,0.0598,0.0441,0.7253,0.0113
XGBoost,attack-success-rate,0.7245,0.0597,0.044,0.7264,0.011
LightGBM,attack-success-rate,0.7225,0.0599,0.0441,0.7237,0.0113
CatBoost,attack-success-rate,0.7263,0.0595,0.0439,0.7281,0.0107
Linear Regression,ARIS,0.6665,0.1347,0.1069,0.6745,0.0108
Decision Tree,ARIS,0.7143,0.1247,0.0935,0.7254,0.0118
Extra Trees,ARIS,0.6332,0.1412,0.1051,0.6589,0.0139
Random Forest,ARIS,0.6673,0.1345,0.1004,0.6795,0.0134
Gradient Boosting,ARIS,0.7249,0.1223,0.0925,0.7316,0.0114
XGBoost,ARIS,0.7198,0.1235,0.0931,0.728,0.0116
LightGBM,ARIS,0.7142,0.1247,0.0935,0.7233,0.012
CatBoost,ARIS,0.724,0.1225,0.0927,0.7314,0.0114
