"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"DevSecOps_Simulation_V2_final.nlogo"
"DevSecOps_Dataset_V1"
"06/07/2026 22:02:26:802 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","attacker-skill","attacker-aggressiveness","attacker-stealth","defender-detection-rate","defender-patch-speed","alpha","beta","[step]","attack-success-rate","total-compromises-ever","compromise-rate","detection-rate-achieved","system-resilience-score","defender-effectiveness","incident-patch-count","preventive-patch-count","mean-risk-score","top-preference"
"5","0.1","0.4","0.1","0.2","0.2","0","0.05","200","0","0","0","0","1","0","0","33","0.043","0.2"
"2","0.1","0.4","0.1","0.2","0.2","0","0.05","200","0.056","3","0.4","1","0.997","1","3","27","0.017","0.35"
"3","0.1","0.4","0.1","0.2","0.2","0","0.05","200","0","0","0","0","1","0","0","36","0.041","0.35"
"4","0.1","0.4","0.1","0.2","0.2","0","0.05","200","0.035","2","0.4","1","0.998","1","2","30","0.063","0.15"
"8","0.1","0.4","0.1","0.2","0.2","0","0.1","200","0.032","2","0.4","1","0.998","1","2","27","0.04","0.2"
"6","0.1","0.4","0.1","0.2","0.2","0","0.1","200","0.019","1","0.2","1","0.999","1","1","24","0.042","0"
"9","0.1","0.4","0.1","0.2","0.2","0","0.1","200","0.019","1","0.2","1","0.999","1","1","33","0.018","0.2"
"7","0.1","0.4","0.1","0.2","0.2","0","0.1","200","0.085","5","0.6","1","0.995","1","5","31","0.03","0.5"
"15","0.1","0.4","0.1","0.2","0.2","0","0.2","200","0.056","2","0.4","1","0.998","1","2","24","0.031","0.3"
"10","0.1","0.4","0.1","0.2","0.2","0","0.1","200","0.036","2","0.2","1","0.998","1","2","39","0.018","0.2"
"14","0.1","0.4","0.1","0.2","0.2","0","0.2","200","0.046","3","0.4","1","0.997","1","3","23","0.031","0.5"
"11","0.1","0.4","0.1","0.2","0.2","0","0.2","200","0.016","1","0.2","1","0.999","1","1","27","0.017","0.3"
"13","0.1","0.4","0.1","0.2","0.2","0","0.2","200","0.032","2","0.4","0.5","0.998","1","1","33","0.017","0.1"
"12","0.1","0.4","0.1","0.2","0.2","0","0.2","200","0.054","3","0.6","1","0.997","1","3","29","0.06","0.5"
"16","0.1","0.4","0.1","0.2","0.2","0.2","0.05","200","0.056","3","0.6","1","0.997","1","3","23","0.034","0.3"
"17","0.1","0.4","0.1","0.2","0.2","0.2","0.05","200","0.044","2","0.4","1","0.998","0.5","1","25","0.015","0.35"
"19","0.1","0.4","0.1","0.2","0.2","0.2","0.05","200","0.032","2","0.4","0.5","0.998","1","1","31","0.034","0.7"
"20","0.1","0.4","0.1","0.2","0.2","0.2","0.05","200","0.014","1","0.2","1","0.999","1","1","30","0.028","0.05"
"21","0.1","0.4","0.1","0.2","0.2","0.2","0.1","200","0.053","3","0.4","1","0.997","1","3","34","0.046","0.5"
